0	2	249
1	2	2060
2	0	1408
2	1	443
3	0	1408
3	1	1450
4	2	3158
5	2	151
6	2	1439
7	2	1039
8	2	185
9	0	3121
9	1	443
10	2	2823
11	2	1756
12	2	375
13	2	493
14	2	1766
15	2	3394
16	0	1408
16	1	1772
17	0	1408
17	1	814
18	2	109
19	0	2231
19	1	814
20	2	2939
21	0	547
21	1	273
22	2	2245
23	2	3455
24	2	3300
25	2	2021
26	2	1022
27	2	2787
28	2	6
29	2	943
30	2	1745
31	0	1408
31	1	109
32	0	2231
32	1	1772
33	2	1525
34	2	2517
35	2	2156
36	0	3121
36	1	1772
37	2	2723
38	0	2932
38	1	2508
39	0	2932
39	1	273
40	2	1917
41	2	3401
42	2	1254
43	2	2098
44	0	3018
44	1	1450
45	0	2231
45	1	2939
46	2	164
47	0	3460
47	1	1450
48	0	477
48	1	443
49	2	3420
50	2	1490
51	2	2481
52	0	3460
52	1	443
53	2	772
54	2	2626
55	0	1408
55	1	2477
56	0	1894
56	1	1450
57	2	1621
58	2	1986
59	2	2411
60	0	1408
60	1	1039
61	0	3121
61	1	3078
62	2	315
63	2	1005
64	0	2231
64	1	2356
65	0	549
65	1	109
66	2	2782
67	2	624
68	0	2231
68	1	1527
69	2	2023
70	2	3497
71	2	2140
72	2	3487
73	2	2426
74	0	2231
74	1	943
75	2	720
76	0	1470
76	1	443
77	2	816
78	0	1408
78	1	2432
79	0	3460
79	1	1527
80	2	2242
81	0	3411
81	1	943
82	0	549
82	1	47
83	0	3140
83	1	3394
84	2	2557
85	0	1520
85	1	1527
86	0	549
86	1	2939
87	0	925
87	1	185
88	2	372
89	0	3121
89	1	1929
90	0	1955
90	1	443
91	0	1520
91	1	1345
92	0	1408
92	1	2465
93	0	2231
93	1	2465
94	2	2125
95	2	127
96	2	1747
97	2	785
98	2	2318
99	0	1408
99	1	3167
100	0	1520
100	1	109
101	0	2231
101	1	1345
102	0	204
102	1	1450
103	0	3460
103	1	2356
104	2	2623
105	0	626
105	1	64
106	0	3018
106	1	443
107	0	1408
107	1	2723
108	0	3338
108	1	2939
109	0	3460
109	1	249
110	0	3303
110	1	1772
111	2	1899
112	0	3121
112	1	273
113	2	3180
114	2	739
115	2	1858
116	2	2174
117	0	921
117	1	1929
118	2	2394
119	0	1535
119	1	814
120	2	2423
121	0	1408
121	1	1745
122	0	3460
122	1	3078
123	2	1719
124	0	450
124	1	1450
125	0	1408
125	1	2423
126	2	3450
127	0	1520
127	1	2356
128	2	255
129	0	549
129	1	2508
130	2	3201
131	2	2004
132	0	450
